city,county
Angels Camp,Calaveras
Baywood-Los Osos,San Luis Obispo
Beale Air Force Base,Yuba
Big Bear,San Bernardino
Camp Pendleton North,San Diego
Carmel Valley,Monterey
Chicago Park,Nevada
City of Industry,Los Angeles
Edwards Air Force Base,Kern
Gualala,Mendocino
Helendale,San Bernardino
Hilmar,Merced
La Canada Flintridge,Los Angeles
Naval Air Station Point Mugu,Ventura
Palomar Mountain,San Diego
Paso Robles,San Luis Obispo
Rescue,El Dorado
Tahoe City,Placer
Tollhouse,Fresno
Ventura,Ventura
Woodland Hills,Los Angeles
Yokuts Valley,Fresno
